leitura_inic_n2,leitura_final_n2,diferenca_tempo_n2
1497307586004,1497307586525,521
1497307593571,1497307594087,516
1497307599103,1497307599622,519
1497307604397,1497307604929,532
1497307611360,1497307611883,523
1497307749910,1497307750432,522
1497307754225,1497307754741,516
1497307758524,1497307759043,519
1497307762810,1497307763326,516
1497307767242,1497307767772,530
1497307949490,1497307950032,542
1497307953932,1497307954495,563
1497307957864,1497307958390,526
1497307961753,1497307962289,536
1497307965287,1497307965808,521
1497308144558,1497308145086,528
1497308148735,1497308149255,520
1497308152311,1497308152846,535
1497308155736,1497308156274,538
1497308160019,1497308160545,526
1497387057079,1497387057597,518
1497387061540,1497387062060,520
1497387065394,1497387065917,523
1497387070544,1497387071082,538
1497387074668,1497387075195,527
1497387195379,1497387195899,520
1497387199234,1497387199753,519
1497387202719,1497387203235,516
1497387205883,1497387206418,535
1497387209174,1497387209687,513
1497387350239,1497387350757,518
1497387353389,1497387353905,516
1497387356634,1497387357173,539
1497387359632,1497387360146,514
1497387363256,1497387363786,530
1497387514746,1497387515266,520
1497387517917,1497387518460,543
1497387520954,1497387521466,512
1497387523924,1497387524487,563
1497387526951,1497387527480,529
1497470917568,1497470918117,549
1497470921428,1497470921971,543
1497470924249,1497470924768,519
1497470927229,1497470927742,513
1497470930485,1497470931019,534
1497471050181,1497471050697,516
1497471053618,1497471054149,531
1497471056927,1497471057445,518
1497471060135,1497471060668,533
1497471063061,1497471063574,513
1497471182504,1497471183023,519
1497471187947,1497471188463,516
1497471191144,1497471191664,520
1497471194337,1497471194851,514
1497471197630,1497471198163,533
1497471330517,1497471331047,530
1497471335200,1497471335733,533
1497471338683,1497471339195,512
1497471341697,1497471342230,533
1497471345106,1497471345619,513
